date,EURUSD,NZDUSD,GBPUSD,CADUSD,JPYUSD,gbp_spread,eur_spread,cad_spread,nzd_spread,jpy_spread
2018-12-24,0.8768666666666667,1.4853999999999998,0.7887,1.3572,110.91,0.3410077519379845,0.01124031007751938,0.748062015503876,0.7209302325581396,-0.05116279069767442
2018-12-25,0.8767333333333334,1.484,0.7888000000000001,1.3574,110.68,0.338984126984127,0.011047619047619047,0.7352380952380952,0.7085714285714286,-0.05333333333333334
2018-12-26,0.8766,1.4826,0.7889,1.3576,110.45,0.3370287141073658,0.010861423220973783,0.7228464419475655,0.6966292134831461,-0.04719101123595506
2018-12-27,0.8763,1.493,0.792,1.365,110.78,0.3499615384615385,0.008076923076923077,0.7423076923076922,0.7153846153846154,-0.04846153846153846
2018-12-28,0.8737,1.4916,0.7875,1.3629,110.34,0.3495703125,0.012109375,0.7343749999999999,0.71875,-0.059375
2018-12-31,0.8729,1.4901,0.7835,1.3644,109.7,0.35900398406374506,0.012350597609561753,0.749003984063745,0.7370517928286854,-0.06414342629482073
2019-01-01,0.8767,1.4949,0.78865,1.36175,109.46000000000001,,,,,
2019-01-02,0.8805,1.4997,0.7938,1.3591,109.22,0.3363453815261044,-0.0032128514056224897,0.7429718875502008,0.7309236947791165,-0.0682730923694779
2019-01-03,0.8773,1.4954,0.7916,1.3484,108.07,0.34350210970464135,-0.009282700421940928,0.7426160337552742,0.7552742616033755,-0.07552742616033754
2019-01-04,0.8764,1.483,0.7849,1.3399,108.29,0.3640160642570281,0.0036144578313253004,0.7389558232931727,0.7188755020080321,-0.0755020080321285
2019-01-07,0.872,1.4789,0.7839,1.3297,108.62,0.3467588932806324,0.013833992094861662,0.7391304347826088,0.7272727272727274,-0.0683794466403162
2019-01-08,0.8738,1.4874,0.7859,1.3307,108.57,0.34279069767441855,0.01627906976744186,0.7325581395348837,0.7170542635658915,-0.05736434108527131
2019-01-09,0.8678,1.4719,0.7835,1.3212,108.38,0.3459143968871596,0.010505836575875487,0.7431906614785992,0.7198443579766538,-0.05525291828793774
2019-01-10,0.8683,1.4728,0.7832,1.3232,108.29,0.35515625,-0.00078125,0.74609375,0.71484375,-0.058203124999999994
2019-01-11,0.8712,1.465,0.7791,1.3256,108.34,0.36976190476190474,-0.002777777777777778,0.75,0.7182539682539683,-0.05952380952380952
2019-01-14,0.8745,1.4665,0.78135,1.3264,108.53,0.3724505928853755,-0.011462450592885377,0.7470355731225297,0.7075098814229249,-0.05790513833992095
2019-01-15,0.8778,1.468,0.7836,1.3272,108.72,0.36675889328063244,-0.023715415019762848,0.7549407114624506,0.6956521739130436,-0.05652173913043478
2019-01-16,0.8766,1.4734,0.7775,1.3243,108.84,0.36531496062992125,-0.018503937007874015,0.7598425196850394,0.6968503937007874,-0.06062992125984252
2019-01-17,0.8783,1.4821,0.7728,1.3296,109.01,0.37453488372093025,-0.013565891472868219,0.7441860465116279,0.686046511627907,-0.0624031007751938
2019-01-18,0.8801,1.4813,0.7753,1.3262,109.79,0.3749618320610687,-0.0049618320610687015,0.748091603053435,0.683206106870229,-0.06068702290076336
2019-01-21,0.88025,1.4837,0.7736000000000001,1.32975,109.565,0.37194605009633913,-0.009633911368015415,0.7514450867052024,0.6936416184971099,-0.06127167630057804
2019-01-22,0.8804,1.4861,0.7719,1.3333,109.34,0.3703501945525292,-0.01595330739299611,0.7354085603112841,0.7003891050583658,-0.061867704280155644
2019-01-23,0.878,1.473,0.7649,1.3362,109.44,0.373011583011583,-0.016216216216216217,0.7335907335907336,0.6988416988416989,-0.06177606177606178
2019-01-24,0.8832,1.4775,0.7676,1.3342,109.72,0.3583921568627451,-0.027450980392156866,0.7294117647058824,0.7098039215686275,-0.0611764705882353
2019-01-25,0.8767,1.4622,0.759,1.3259,109.6,0.3678764478764479,-0.024324324324324326,0.7297297297297297,0.6872586872586873,-0.06332046332046333
2019-01-28,0.8743,1.4633,0.76,1.3269,109.2,0.35833333333333334,-0.023255813953488372,0.7286821705426356,0.686046511627907,-0.06356589147286822
2019-01-29,0.8754,1.4641,0.7607,1.3264,109.36,0.36564705882352944,-0.022745098039215688,0.7294117647058824,0.7019607843137255,-0.06274509803921569
2019-01-30,0.8758,1.4626,0.7656,1.3189,109.57,0.3735341365461847,-0.024899598393574293,0.7349397590361445,0.7148594377510039,-0.0642570281124498
2019-01-31,0.8731,1.4445,0.7613,1.314,108.84,0.36382716049382713,-0.033744855967078186,0.7325102880658436,0.728395061728395,-0.06748971193415637
